SampleID,Target
pair1,1.0
pair2,1.0
pair3,1.0
pair4,1.0
pair5,1.0
pair6,1.0
pair7,1.0
pair8,1.0
pair9,1.0
pair10,1.0
pair11,1.0
pair12,1.0
pair13,1.0
pair14,1.0
pair15,1.0
pair16,1.0
pair17,1.0
pair18,1.0
pair19,1.0
pair20,1.0
pair21,1.0
pair22,1.0
pair23,1.0
pair24,1.0
pair25,1.0
pair26,1.0
pair27,1.0
pair28,1.0
pair29,1.0
pair30,1.0
pair31,1.0
pair32,1.0
pair33,1.0
pair34,1.0
pair35,1.0
pair36,1.0
pair37,1.0
pair38,1.0
pair39,1.0
pair40,1.0
pair41,1.0
pair42,1.0
pair43,1.0
pair44,1.0
pair45,1.0
pair46,1.0
pair47,1.0
pair48,1.0
pair49,1.0
pair50,1.0
pair51,1.0
pair52,1.0
pair53,1.0
pair54,1.0
pair55,1.0
pair56,1.0
pair57,1.0
pair58,1.0
pair59,1.0
pair60,1.0
pair61,1.0
pair62,1.0
pair63,1.0
pair64,1.0
pair65,1.0
pair66,1.0
pair67,1.0
pair68,1.0
pair69,1.0
pair70,1.0
pair71,1.0
pair72,1.0
pair73,1.0
pair74,1.0
pair75,1.0
pair76,1.0
pair77,1.0
pair78,1.0
pair79,1.0
pair80,1.0
pair81,1.0
pair82,1.0
pair83,1.0
pair84,1.0
pair85,1.0
pair86,1.0
pair87,1.0
pair88,1.0
pair89,1.0
pair90,1.0
pair91,1.0
pair92,1.0
pair93,1.0
pair94,1.0
pair95,1.0
pair96,1.0
pair97,1.0
pair98,1.0
pair99,1.0
