Source,Target
G1,G13
G1,G96
G5,G39
G6,G2
G6,G3
G6,G4
G6,G5
G6,G14
G6,G15
G6,G17
G6,G20
G6,G21
G6,G25
G6,G27
G6,G39
G6,G44
G6,G46
G6,G49
G6,G53
G6,G54
G6,G56
G6,G58
G6,G61
G6,G62
G6,G64
G6,G66
G6,G68
G6,G72
G6,G73
G6,G75
G6,G78
G6,G82
G6,G86
G6,G87
G6,G89
G6,G90
G6,G91
G6,G92
G6,G93
G6,G97
G6,G98
G10,G7
G10,G9
G10,G12
G10,G17
G10,G23
G10,G29
G10,G33
G10,G36
G10,G38
G10,G43
G10,G45
G10,G47
G10,G54
G10,G55
G10,G69
G10,G77
G10,G80
G10,G81
G10,G82
G10,G83
G10,G92
G10,G95
G11,G28
G11,G31
G13,G8
G13,G9
G13,G23
G13,G55
G13,G83
G13,G96
G13,G100
G14,G98
G16,G9
G16,G23
G21,G12
G21,G26
G21,G74
G23,G9
G23,G10
G23,G13
G23,G96
G26,G71
G26,G74
G30,G42
G30,G51
G33,G7
G33,G80
G34,G49
G34,G89
G37,G10
G38,G22
G38,G81
G39,G5
G40,G3
G40,G4
G40,G8
G40,G9
G40,G11
G40,G17
G40,G22
G40,G23
G40,G25
G40,G27
G40,G28
G40,G29
G40,G31
G40,G41
G40,G49
G40,G50
G40,G52
G40,G53
G40,G54
G40,G55
G40,G59
G40,G60
G40,G61
G40,G63
G40,G64
G40,G66
G40,G69
G40,G73
G40,G76
G40,G78
G40,G79
G40,G85
G40,G87
G40,G88
G40,G89
G40,G90
G40,G91
G49,G89
G51,G26
G51,G74
G52,G2
G52,G8
G52,G9
G52,G19
G52,G23
G52,G25
G52,G35
G52,G40
G52,G42
G52,G48
G52,G60
G52,G61
G52,G64
G52,G67
G52,G73
G52,G75
G52,G85
G52,G87
G52,G88
G55,G9
G55,G13
G55,G23
G55,G96
G57,G18
G63,G11
G63,G17
G63,G25
G63,G27
G63,G28
G63,G31
G63,G54
G63,G61
G63,G64
G63,G69
G63,G73
G63,G78
G63,G79
G65,G45
G69,G41
G70,G26
G70,G32
G70,G44
G70,G74
G70,G83
G70,G97
G76,G8
G76,G88
G80,G7
G80,G33
G83,G26
G83,G32
G83,G44
G83,G74
G83,G97
G84,G23
G84,G42
G84,G55
G86,G2
G86,G3
G86,G4
G86,G5
G86,G6
G86,G14
G86,G15
G86,G17
G86,G20
G86,G21
G86,G25
G86,G27
G86,G39
G86,G44
G86,G46
G86,G49
G86,G53
G86,G54
G86,G56
G86,G58
G86,G61
G86,G62
G86,G64
G86,G66
G86,G68
G86,G72
G86,G73
G86,G75
G86,G78
G86,G82
G86,G87
G86,G89
G86,G90
G86,G91
G86,G92
G86,G93
G86,G97
G86,G98
G91,G20
G91,G59
G94,G1
G94,G13
G94,G50
G94,G96
G99,G24
G99,G26
G99,G71
G99,G74
G100,G18
G100,G36
G100,G43
G100,G56
G100,G66
G100,G67
G100,G77
G100,G92
G100,G93
G100,G95
